CpuTime,PID,StartingBurstTime,EndingBurstTime,CompletionTime
0,8,615,565,0
53,10,702,652,0
106,2,972,922,0
159,3,992,942,0
212,8,565,515,0
265,11,942,892,0
318,2,922,872,0
371,4,633,583,0
424,4,583,533,0
477,15,589,539,0
530,14,764,714,0
583,1,585,535,0
636,9,695,645,0
689,14,714,664,0
742,19,271,221,0
795,6,306,256,0
848,7,422,372,0
901,7,372,322,0
954,14,664,614,0
1007,2,872,822,0
1060,12,969,919,0
1113,7,322,272,0
1166,4,533,483,0
1219,15,539,489,0
1272,2,822,772,0
1325,11,892,842,0
1378,2,772,722,0
1431,18,346,296,0
1484,16,103,53,0
1537,8,515,465,0
1590,8,465,415,0
1643,3,942,892,0
1696,5,827,777,0
1749,11,842,792,0
1802,5,777,727,0
1855,18,296,246,0
1908,4,483,433,0
1961,13,955,905,0
2014,11,792,742,0
2067,16,53,3,0
2120,11,742,692,0
2173,19,221,171,0
2226,8,415,365,0
2279,19,171,121,0
2332,11,692,642,0
2385,11,642,592,0
2438,2,722,672,0
2491,14,614,564,0
2544,15,489,439,0
2597,14,564,514,0
2650,6,256,206,0
2703,7,272,222,0
2756,5,727,677,0
2809,18,246,196,0
2862,5,677,627,0
2915,14,514,464,0
2968,19,121,71,0
3021,7,222,172,0
3074,6,206,156,0
3127,11,592,542,0
3180,15,439,389,0
3233,12,919,869,0
3286,6,156,106,0
3339,18,196,146,0
3392,8,365,315,0
3445,8,315,265,0
3498,13,905,855,0
3551,16,3,0,3554
3557,2,672,622,0
3610,15,389,339,0
3663,4,433,383,0
3716,1,535,485,0
3769,15,339,289,0
3822,5,627,577,0
3875,19,71,21,0
3928,4,383,333,0
3981,17,364,314,0
4034,7,172,122,0
4087,2,622,572,0
4140,11,542,492,0
4193,7,122,72,0
4246,2,572,522,0
4299,12,869,819,0
4352,7,72,22,0
4405,2,522,472,0
4458,7,22,0,4480
4483,17,314,264,0
4536,15,289,239,0
4589,1,485,435,0
4642,18,146,96,0
4695,3,892,842,0
4748,15,239,189,0
4801,4,333,283,0
4854,8,265,215,0
4907,10,652,602,0
4960,4,283,233,0
5013,18,96,46,0
5066,11,492,442,0
5119,11,442,392,0
5172,12,819,769,0
5225,19,21,0,5246
5249,17,264,214,0
5302,17,214,164,0
5355,2,472,422,0
5408,5,577,527,0
5461,11,392,342,0
5514,11,342,292,0
5567,12,769,719,0
5620,2,422,372,0
5673,11,292,242,0
5726,17,164,114,0
5779,10,602,552,0
5832,13,855,805,0
5885,8,215,165,0
5938,14,464,414,0
5991,11,242,192,0
6044,15,189,139,0
6097,8,165,115,0
6150,10,552,502,0
6203,18,46,0,6249
6252,2,372,322,0
6305,5,527,477,0
6358,3,842,792,0
6411,8,115,65,0
6464,8,65,15,0
6517,14,414,364,0
6570,5,477,427,0
6623,15,139,89,0
6676,5,427,377,0
6729,2,322,272,0
6782,10,502,452,0
6835,8,15,0,6850
6853,11,192,142,0
6906,11,142,92,0
6959,15,89,39,0
7012,13,805,755,0
7065,11,92,42,0
7118,12,719,669,0
7171,17,114,64,0
7224,4,233,183,0
7277,4,183,133,0
7330,2,272,222,0
7383,5,377,327,0
7436,17,64,14,0
7489,12,669,619,0
7542,6,106,56,0
7595,5,327,277,0
7648,4,133,83,0
7701,10,452,402,0
7754,11,42,0,7796
7799,10,402,352,0
7852,4,83,33,0
7905,17,14,0,7919
7922,13,755,705,0
7975,2,222,172,0
8028,2,172,122,0
8081,12,619,569,0
8134,4,33,0,8167
8170,5,277,227,0
8223,5,227,177,0
8276,9,645,595,0
8329,14,364,314,0
8382,2,122,72,0
8435,2,72,22,0
8488,5,177,127,0
8541,5,127,77,0
8594,13,705,655,0
8647,14,314,264,0
8700,12,569,519,0
8753,3,792,742,0
8806,2,22,0,8828
8831,10,352,302,0
8884,6,56,6,0
8937,12,519,469,0
8990,15,39,0,9029
9032,12,469,419,0
9085,12,419,369,0
9138,10,302,252,0
9191,12,369,319,0
9244,6,6,0,9250
9253,1,435,385,0
9306,14,264,214,0
9359,12,319,269,0
9412,13,655,605,0
9465,14,214,164,0
9518,1,385,335,0
9571,1,335,285,0
9624,12,269,219,0
9677,10,252,202,0
9730,1,285,235,0
9783,5,77,27,0
9836,12,219,169,0
9889,13,605,555,0
9942,10,202,152,0
9995,5,27,0,10022
10025,1,235,185,0
10078,14,164,114,0
10131,14,114,64,0
10184,14,64,14,0
10237,12,169,119,0
10290,13,555,505,0
10343,14,14,0,10357
10360,1,185,135,0
10413,13,505,455,0
10466,1,135,85,0
10519,1,85,35,0
10572,13,455,405,0
10625,3,742,692,0
10678,9,595,545,0
10731,13,405,355,0
10784,10,152,102,0
10837,12,119,69,0
10890,13,355,305,0
10943,12,69,19,0
10996,1,35,0,11031
11034,12,19,0,11053
11056,13,305,255,0
11109,9,545,495,0
11162,9,495,445,0
11215,10,102,52,0
11268,13,255,205,0
11321,10,52,2,0
11374,9,445,395,0
11427,10,2,0,11429
11432,3,692,642,0
11485,3,642,592,0
11538,9,395,345,0
11591,13,205,155,0
11644,3,592,542,0
11697,3,542,492,0
11750,13,155,105,0
11803,13,105,55,0
11856,13,55,5,0
11909,13,5,0,11914
11917,3,492,442,0
11970,3,442,392,0
12023,3,392,342,0
12076,3,342,292,0
12129,3,292,242,0
12182,3,242,192,0
12235,3,192,142,0
12288,3,142,92,0
12341,9,345,295,0
12394,9,295,245,0
12447,9,245,195,0
12500,3,92,42,0
12553,3,42,0,12595
12598,9,195,145,0
12648,9,145,95,0
12698,9,95,45,0
12748,9,45,0,12793
